iter	Passed	Remaining
556	2984	2373
557	2988	2367
558	2993	2361
559	2997	2355
560	3002	2349
561	3014	2349
562	3018	2343
563	3022	2336
564	3027	2330
565	3032	2325
566	3037	2319
567	3043	2314
568	3048	2309
569	3052	2302
570	3057	2296
571	3061	2290
572	3066	2284
573	3070	2279
574	3075	2272
575	3078	2266
576	3083	2260
577	3087	2254
578	3091	2248
579	3095	2241
580	3101	2236
581	3105	2230
582	3109	2223
583	3113	2218
584	3119	2212
585	3123	2206
586	3127	2200
587	3132	2194
588	3136	2188
589	3140	2182
590	3145	2176
591	3150	2171
592	3154	2165
593	3158	2158
594	3163	2152
595	3166	2146
596	3171	2140
597	3176	2135
598	3180	2128
599	3183	2122
600	3188	2116
601	3192	2110
602	3197	2104
603	3202	2099
604	3207	2094
605	3211	2088
606	3216	2082
607	3221	2077
608	3225	2071
609	3230	2065
610	3234	2059
611	3238	2053
612	3242	2047
613	3248	2042
614	3253	2036
615	3257	2030
616	3261	2024
617	3266	2018
618	3270	2012
619	3274	2007
620	3279	2001
621	3283	1995
622	3287	1989
623	3292	1983
624	3296	1977
625	3300	1971
626	3304	1966
627	3309	1960
628	3313	1954
629	3317	1948
630	3322	1942
631	3326	1937
632	3330	1931
633	3336	1925
634	3340	1919
635	3345	1914
636	3349	1908
637	3353	1902
638	3358	1897
639	3363	1891
640	3368	1886
641	3372	1880
642	3378	1875
643	3382	1870
644	3388	1864
645	3394	1860
646	3399	1854
647	3406	1850
648	3411	1844
649	3416	1839
650	3422	1834
651	3428	1829
652	3435	1825
653	3441	1820
654	3447	1815
655	3452	1810
656	3458	1805
657	3463	1800
658	3469	1795
659	3475	1790
660	3481	1785
661	3487	1780
662	3493	1775
663	3498	1770
664	3506	1766
665	3512	1761
666	3517	1756
667	3523	1751
668	3527	1745
669	3533	1740
670	3540	1735
671	3544	1730
672	3548	1724
673	3553	1718
674	3557	1713
675	3563	1708
676	3568	1702
677	3572	1696
678	3577	1691
679	3581	1685
680	3585	1679
681	3591	1674
682	3596	1669
683	3600	1663
684	3605	1658
685	3609	1652
686	3614	1646
687	3619	1641
688	3623	1635
689	3627	1629
690	3631	1624
691	3636	1618
692	3640	1612
693	3644	1606
694	3649	1601
695	3653	1595
696	3657	1589
697	3662	1584
698	3666	1578
699	3670	1573
700	3674	1567
701	3678	1561
702	3682	1555
703	3687	1550
704	3691	1544
705	3696	1539
706	3699	1533
707	3703	1527
708	3708	1522
709	3712	1516
710	3716	1510
711	3720	1504
712	3724	1499
713	3728	1493
714	3732	1487
715	3736	1482
716	3741	1476
717	3745	1470
718	3749	1465
719	3754	1460
720	3758	1454
721	3762	1448
722	3766	1443
723	3771	1437
724	3775	1432
725	3779	1426
726	3784	1420
727	3788	1415
728	3791	1409
729	3795	1403
730	3800	1398
731	3804	1392
732	3808	1387
733	3812	1381
734	3816	1376
735	3820	1370
736	3825	1365
737	3829	1359
738	3833	1353
739	3837	1348
740	3842	1343
741	3846	1337
742	3850	1331
743	3854	1326
744	3859	1321
745	3863	1315
746	3868	1310
747	3872	1304
748	3876	1298
749	3880	1293
750	3884	1287
751	3889	1282
752	3893	1277
753	3897	1271
754	3902	1266
755	3906	1260
756	3911	1255
757	3916	1250
758	3921	1245
759	3926	1239
760	3932	1235
761	3938	1230
762	3946	1225
763	3954	1221
764	3961	1216
765	3968	1212
766	3974	1207
767	3980	1202
768	3986	1197
769	3992	1192
770	3999	1187
771	4004	1182
772	4009	1177
773	4014	1172
774	4018	1166
775	4024	1161
776	4029	1156
777	4034	1151
778	4038	1145
779	4044	1140
780	4049	1135
781	4054	1130
782	4060	1125
783	4065	1120
784	4070	1114
785	4075	1109
786	4081	1104
787	4086	1099
788	4092	1094
789	4097	1089
790	4103	1084
791	4109	1079
792	4115	1074
793	4120	1068
794	4126	1063
795	4132	1059
796	4138	1054
797	4143	1048
798	4147	1043
799	4151	1037
800	4157	1032
801	4162	1027
802	4167	1022
803	4172	1017
804	4177	1011
805	4182	1006
806	4187	1001
807	4191	996
808	4196	990
809	4201	985
810	4205	980
811	4210	974
812	4214	969
813	4219	964
814	4223	958
815	4228	953
816	4232	948
817	4236	942
818	4241	937
819	4246	932
820	4251	926
821	4256	921
822	4260	916
823	4265	911
824	4270	905
825	4275	900
826	4280	895
827	4285	890
828	4289	884
829	4294	879
830	4299	874
831	4303	868
832	4307	863
833	4312	858
834	4316	852
835	4320	847
836	4325	842
837	4330	837
838	4334	831
839	4339	826
840	4343	821
841	4347	815
842	4351	810
843	4356	805
844	4361	799
845	4365	794
846	4369	789
847	4373	783
848	4377	778
849	4382	773
850	4386	768
851	4390	762
852	4396	757
853	4401	752
854	4412	748
855	4417	743
856	4421	737
857	4425	732
858	4430	727
859	4434	721
860	4438	716
861	4442	711
862	4447	705
863	4451	700
864	4455	695
865	4460	690
866	4463	684
867	4468	679
868	4473	674
869	4478	669
870	4482	663
871	4487	658
872	4491	653
873	4495	648
874	4500	642
875	4504	637
876	4509	632
877	4513	627
878	4518	622
879	4522	616
880	4526	611
881	4531	606
882	4536	601
883	4540	595
884	4545	590
885	4549	585
886	4554	580
887	4558	574
888	4562	569
889	4566	564
890	4571	559
891	4575	554
892	4579	548
893	4584	543
894	4589	538
895	4593	533
896	4597	527
897	4602	522
898	4605	517
899	4610	512
900	4614	507
901	4618	501
902	4623	496
903	4628	491
904	4632	486
905	4636	481
906	4641	475
907	4645	470
908	4649	465
909	4654	460
910	4659	455
911	4663	449
912	4667	444
913	4672	439
914	4676	434
915	4680	429
916	4685	424
917	4689	418
918	4693	413
919	4698	408
920	4703	403
921	4707	398
922	4711	393
923	4716	387
924	4720	382
925	4724	377
926	4729	372
927	4733	367
928	4737	362
929	4741	356
930	4746	351
931	4751	346
932	4755	341
933	4760	336
934	4764	331
935	4768	326
936	4774	320
937	4778	315
938	4782	310
939	4787	305
940	4791	300
941	4795	295
942	4800	290
943	4804	285
944	4808	279
945	4813	274
946	4818	269
947	4823	264
948	4827	259
949	4833	254
950	4837	249
951	4841	244
952	4845	238
953	4850	233
954	4854	228
955	4858	223
956	4863	218
957	4867	213
958	4871	208
959	4876	203
960	4880	198
961	4884	192
962	4889	187
963	4894	182
964	4898	177
965	4902	172
966	4907	167
967	4911	162
968	4916	157
969	4921	152
970	4926	147
971	4930	142
972	4935	136
973	4940	131
974	4944	126
975	4949	121
976	4953	116
977	4957	111
978	4961	106
979	4966	101
980	4970	96
981	4974	91
982	4979	86
983	4983	81
984	4987	75
985	4992	70
986	4997	65
987	5001	60
988	5005	55
989	5010	50
990	5014	45
991	5019	40
992	5023	35
993	5027	30
994	5031	25
995	5036	20
996	5040	15
997	5045	10
998	5050	5
999	5055	0
